method_name	error_message	n	example
SCIMITAR	"
/scratch/irc/shared/dynverse/R/lib64/R/library/SCIMITAR/venv/lib/python2.7/site-packages/rpy2/rinterface/__init__.py:185: RRuntimeWarning: 4: package ‘grDevices’ was built under R version 3.4.3 

  warnings.warn(x, RRuntimeWarning)
Traceback (most recent call last):
  File ""/software/shared/apps/x86_64/python/2.7.14/lib/python2.7/site-packages/scipy/interpolate/fitpack2.py"", line 175, in __init__
    if not all(diff(x) > 0.0):
  File ""/software/shared/apps/x86_64/python/2.7.14/lib/python2.7/site-packages/numpy/lib/function_base.py"", line 1923, in diff
    slice2 = [slice(None)]*nd
MemoryError"	1	real/germline-human-female-weeks_li
SCIMITAR	"/irc/shared/dynverse/R/lib64/R/library/SCIMITAR/venv/lib/python2.7/site-packages/rpy2/rinterface/__init__.py:185: RRuntimeWarning: 4: package ‘grDevices’ was built under R version 3.4.3 

  warnings.warn(x, RRuntimeWarning)
Traceback (most recent call last):
  File ""/software/shared/apps/x86_64/python/2.7.14/lib/python2.7/site-packages/scipy/interpolate/fitpack2.py"", line 190, in __init__
    self._reset_class()
  File ""/software/shared/apps/x86_64/python/2.7.14/lib/python2.7/site-packages/scipy/interpolate/fitpack2.py"", line 207, in _reset_class
    self._eval_args = t[:n],c[:n],k
MemoryError"	1	real/germline-human-female_li
SCIMITAR	"face/__init__.py:185: RRuntimeWarning: 3: package ‘graphics’ was built under R version 3.4.3 

  warnings.warn(x, RRuntimeWarning)
/scratch/irc/shared/dynverse/R/lib64/R/library/SCIMITAR/venv/lib/python2.7/site-packages/rpy2/rinterface/__init__.py:185: RRuntimeWarning: 4: package ‘grDevices’ was built under R version 3.4.3 

  warnings.warn(x, RRuntimeWarning)
Traceback (most recent call last):
  File ""/software/shared/apps/x86_64/python/2.7.14/lib/python2.7/site-packages/numpy/core/numeric.py"", line 583, in asanyarray
    return array(a, dtype, copy=False, order=order, subok=True)
MemoryError"	1	real/ICM-monkey_nakamura
SCIMITAR	"m_embedding(expression.as_matrix().T, fit_type='spline', degree=p[""degree""], step_size=p[""step_size""],cov_estimator=p[""cov_estimator""], cov_reg=p[""cov_reg""])
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/SCIMITAR/venv/lib/python2.7/site-packages/scimitar/morphing_mixture.py"", line 396, in morphing_gaussian_from_embedding
    pseudotimes, cov_estimator=cov_estimator, **kwargs)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/SCIMITAR/venv/lib/python2.7/site-packages/scimitar/morphing_mixture.py"", line 325, in morphing_mixture_from_pseudotime
    timepoints=timepoints)
MemoryError"	1	real/germline-human-female-weeks_li
SCIMITAR	"oints=timepoints)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/SCIMITAR/venv/lib/python2.7/site-packages/scimitar/morphing_mixture.py"", line 245, in state_interpolation
    spl = UnivariateSpline(timepoints, sorted_chols[:, j, i], k=degree)
  File ""/software/shared/apps/x86_64/python/2.7.14/lib/python2.7/site-packages/scipy/interpolate/fitpack2.py"", line 175, in __init__
    if not all(diff(x) > 0.0):
  File ""/software/shared/apps/x86_64/python/2.7.14/lib/python2.7/site-packages/numpy/core/fromnumeric.py"", line 2050, in all
    return arr.all(axis=axis, out=out, **kwargs)
MemoryError"	1	real/germline-human-both_guo
SCIMITAR	"R/venv/lib/python2.7/site-packages/rpy2/rinterface/__init__.py:185: RRuntimeWarning: 1: package ‘stats’ was built under R version 3.4.3 

  warnings.warn(x, RRuntimeWarning)
/scratch/irc/shared/dynverse/R/lib64/R/library/SCIMITAR/venv/lib/python2.7/site-packages/rpy2/rinterface/__init__.py:185: RRuntimeWarning: 2: package ‘utils’ was built under R version 3.4.3 

  warnings.warn(x, RRuntimeWarning)
/scratch/irc/shared/dynverse/R/lib64/R/library/SCIMITAR/venv/lib/python2.7/site-packages/rpy2/rinterface/__init__.py:185: RRuntimeWarning: 3: package ‘graphics’ was built under R version 3.4.3 

  w"	1	synthetic/cycle_4
SCIMITAR	"raceback (most recent call last):
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/SCIMITAR/venv/lib/python2.7/site-packages/scimitar/morphing_mixture.py"", line 245, in state_interpolation
    spl = UnivariateSpline(timepoints, sorted_chols[:, j, i], k=degree)
  File ""/software/shared/apps/x86_64/python/2.7.14/lib/python2.7/site-packages/scipy/interpolate/fitpack2.py"", line 175, in __init__
    if not all(diff(x) > 0.0):
  File ""/software/shared/apps/x86_64/python/2.7.14/lib/python2.7/site-packages/numpy/lib/function_base.py"", line 1931, in diff
    return a[slice1]-a[slice2]
MemoryError"	1	real/germline-human-female-weeks_li
SCIMITAR	"ratch/irc/shared/dynverse/R/lib64/R/library/SCIMITAR/venv/lib/python2.7/site-packages/rpy2/rinterface/__init__.py:185: RRuntimeWarning: 4: 3 instances of variables with zero scale detected! 

  warnings.warn(x, RRuntimeWarning)
/scratch/irc/shared/dynverse/R/lib64/R/library/SCIMITAR/venv/lib/python2.7/site-packages/rpy2/rinterface/__init__.py:185: RRuntimeWarning: 5: 2 instances of variables with zero scale detected! 

  warnings.warn(x, RRuntimeWarning)
/scratch/irc/shared/dynverse/R/lib64/R/library/SCIMITAR/venv/lib/python2.7/site-packages/rpy2/rinterface/__init__.py:185: RRuntimeWarning: 6:"	1	synthetic/consecutive_bifurcating_11
SCIMITAR	"sage:

  warnings.warn(x, RRuntimeWarning)
/scratch/irc/shared/dynverse/R/lib64/R/library/SCIMITAR/venv/lib/python2.7/site-packages/rpy2/rinterface/__init__.py:185: RRuntimeWarning: package ‘methods’ was built under R version 3.4.3 

  warnings.warn(x, RRuntimeWarning)
/scratch/irc/shared/dynverse/R/lib64/R/library/SCIMITAR/venv/lib/python2.7/site-packages/rpy2/rinterface/__init__.py:185: RRuntimeWarning: During startup - 
  warnings.warn(x, RRuntimeWarning)
/scratch/irc/shared/dynverse/R/lib64/R/library/SCIMITAR/venv/lib/python2.7/site-packages/rpy2/rinterface/__init__.py:185: RRuntimeWarning"	1	real/epidermis-hair-IFE_joost
SCIMITAR	"site-packages/rpy2/rinterface/__init__.py:185: RRuntimeWarning: 4: package ‘grDevices’ was built under R version 3.4.3 

  warnings.warn(x, RRuntimeWarning)
Traceback (most recent call last):
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/SCIMITAR/venv/lib/python2.7/site-packages/scimitar/morphing_mixture.py"", line 245, in state_interpolation
    spl = UnivariateSpline(timepoints, sorted_chols[:, j, i], k=degree)
  File ""/software/shared/apps/x86_64/python/2.7.14/lib/python2.7/site-packages/scipy/interpolate/fitpack2.py"", line 175, in __init__
    if not all(diff(x) > 0.0):
MemoryError"	1	real/germline-human-both_guo
SCOUP	SCOUP returned NaNs	1	synthetic/bifurcating_loop_7
SCUBA	"""/software/shared/apps/x86_64/python/3.5.1/lib/python3.5/site-packages/sklearn/cluster/k_means_.py"", line 884, in fit
    X = self._check_fit_data(X)
  File ""/software/shared/apps/x86_64/python/3.5.1/lib/python3.5/site-packages/sklearn/cluster/k_means_.py"", line 858, in _check_fit_data
    X = check_array(X, accept_sparse='csr', dtype=[np.float64, np.float32])
  File ""/software/shared/apps/x86_64/python/3.5.1/lib/python3.5/site-packages/sklearn/utils/validation.py"", line 439, in check_array
    context))
ValueError: Found array with 0 feature(s) (shape=(9, 0)) while a minimum of 1 is required."	1	synthetic/cycle_6
SCUBA	"thon/3.5.1/lib/python3.5/site-packages/sklearn/metrics/pairwise.py"", line 223, in euclidean_distances
    X, Y = check_pairwise_arrays(X, Y)
  File ""/software/shared/apps/x86_64/python/3.5.1/lib/python3.5/site-packages/sklearn/metrics/pairwise.py"", line 110, in check_pairwise_arrays
    warn_on_dtype=warn_on_dtype, estimator=estimator)
  File ""/software/shared/apps/x86_64/python/3.5.1/lib/python3.5/site-packages/sklearn/utils/validation.py"", line 439, in check_array
    context))
ValueError: Found array with 0 feature(s) (shape=(1, 0)) while a minimum of 1 is required by check_pairwise_arrays."	1	synthetic/cycle_6
slingshot	'x' must be an array of at least two dimensions	1	real/trophectoderm-monkey_nakamura
slingshot	Lapack routine dgesv: system is exactly singular: U[3,3] = 0	1	synthetic/cycle_10
slingshot	system is computationally singular: reciprocal condition number = 2.22814e-17	1	synthetic/linear_long_11
topslam	".565005e+06   1.057205e+07 
 14m22s89  0153   6.564626e+06   2.017631e+07 
 14m28s69  0154   6.564258e+06   2.603033e+07 
 14m34s09  0155   6.564546e+06   2.489835e+08 
 14m39s72  0156   6.563909e+06   8.288088e+07 
 14m45s19  0157   6.563703e+06   1.578621e+08 
 14m50s27  0158   6.563317e+06   1.918605e+07 
 14m55s17  0159   6.562999e+06   1.089813e+07 
 15m00s30  0160   6.562728e+06   1.115447e+07 
 15m05s95  0161   6.562354e+06   5.727833e+07 
 15m11s54  0162   6.564741e+06   2.509372e+09 
 15m17s49  0163   6.562254e+06   2.016927e+07 
 15m22s84  0164   6.562135e+06   1.560574e+07 
 15m27s9"	1	real/oligodendrocyte-differentiation-subclusters_marques
topslam	".857712e+06   1.642708e+07 
 07m29s53  0153   4.857515e+06   2.034409e+07 
 07m32s18  0154   4.857709e+06   3.017061e+07 
 07m35s09  0155   4.857390e+06   4.013129e+06 
 07m37s84  0156   4.857191e+06   2.602362e+06 
 07m40s00  0157   4.856990e+06   6.479068e+06 
 07m42s66  0158   4.857264e+06   5.297601e+08 
 07m44s93  0159   4.856960e+06   1.630132e+07 
 07m47s57  0160   4.856849e+06   2.218476e+06 
 07m50s17  0161   4.856745e+06   4.798352e+06 
 07m52s86  0162   4.856515e+06   1.742988e+07 
 07m55s80  0163   4.856391e+06   4.549165e+06 
 07m58s72  0164   4.856264e+06   2.204657e+06 
 08m01s9"	1	real/oligodendrocyte-differentiation-clusters_marques
topslam	"44e+06   1.695585e+07 
 05m04s13  0152   2.893317e+06   2.062326e+06 
 05m05s92  0153   2.893187e+06   7.967372e+05 
 05m07s81  0154   2.893069e+06   2.778874e+07 
 05m09s66  0155   2.892946e+06   1.956587e+06 
 05m11s50  0156   2.892845e+06   8.605242e+06 
 05m13s28  0157   2.892725e+06   2.194805e+07 
 05m15s24  0158   2.892568e+06   7.728798e+06 
 05m17s20  0159   2.892425e+06   6.670411e+06 
 05m18s97  0160   2.898622e+06   2.339832e+09 
 05m20s71  0161   2.892381e+06   1.055363e+07 
 05m22s56  0162   2.892302e+06   7.095840e+06 
 05m24s38  0163   2.892973e+06   3.470814e+08 
 05m26s35  01"	1	real/dentate-gyrus-neurogenesis_hochgerner
topslam	"585627e+06   3.707581e+08 
 13m17s94  0153   6.578065e+06   1.117793e+07 
 13m22s63  0154   6.666733e+06   2.078185e+11 
 13m27s08  0155   6.578020e+06   7.279248e+07 
 13m31s78  0156   6.577711e+06   2.985364e+07 
 13m36s91  0157   6.577644e+06   1.787434e+08 
 13m41s57  0158   6.577396e+06   2.252212e+07 
 13m46s94  0159   6.577251e+06   9.729079e+06 
 13m52s18  0160   6.577076e+06   3.614447e+07 
 13m57s12  0161   6.576921e+06   3.280589e+07 
 14m01s87  0162   6.575775e+06   1.857241e+07 
 14m06s93  0163   6.587423e+06   2.146982e+08 
 14m12s53  0164   6.575143e+06   8.988155e+06 
 14m17s57"	1	real/oligodendrocyte-differentiation-subclusters_marques
topslam	"6.546091e+06   2.476308e+06 
 13m25s40  0153   6.545663e+06   1.936446e+06 
 13m30s02  0154   6.545772e+06   2.197282e+08 
 13m34s39  0155   6.545350e+06   4.502892e+07 
 13m39s05  0156   6.544998e+06   6.626175e+06 
 13m43s71  0157   6.544843e+06   3.156688e+06 
 13m48s45  0158   6.544625e+06   3.763592e+06 
 13m52s90  0159   6.544367e+06   4.013871e+06 
 13m57s44  0160   6.543947e+06   3.188160e+06 
 14m02s32  0161   6.545609e+06   3.778178e+08 
 14m07s09  0162   6.543863e+06   2.376188e+07 
 14m12s26  0163   6.543554e+06   7.898439e+06 
 14m17s79  0164   6.543380e+06   1.213981e+08 
 14m22s"	1	real/oligodendrocyte-differentiation-subclusters_marques
topslam	"68193e+06   2.868732e+08 
 07m25s00  0153   4.867852e+06   1.223090e+08 
 07m27s78  0154   4.867582e+06   1.374769e+07 
 07m30s81  0155   4.867453e+06   2.141597e+07 
 07m33s60  0156   4.867090e+06   2.056731e+07 
 07m36s38  0157   4.871478e+06   1.756696e+08 
 07m39s17  0158   4.866938e+06   2.003045e+07 
 07m41s97  0159   4.865840e+06   5.597985e+07 
 07m44s77  0160   4.865086e+06   8.490432e+06 
 07m47s57  0161   4.864468e+06   1.599169e+08 
 07m50s38  0162   4.863969e+06   6.300791e+07 
 07m53s17  0163   4.863279e+06   7.041134e+06 
 07m56s42  0164   4.862639e+06   4.217143e+07 
 07m59s68 "	1	real/oligodendrocyte-differentiation-clusters_marques
topslam	"77631e+06   1.135867e+08 
 13m14s93  0153   6.576407e+06   9.948976e+07 
 13m19s86  0154   6.637276e+06   9.472673e+10 
 13m24s75  0155   6.576305e+06   2.283912e+08 

 13m29s38  0156   6.575105e+06   1.425689e+08 
 13m33s83  0157   6.573245e+06   2.754560e+07 
 13m38s43  0158   6.572198e+06   1.667339e+07 
 13m43s03  0159   6.572658e+06   5.195643e+08 
 13m48s16  0160   6.571730e+06   9.427836e+07 
 13m52s70  0161   6.577163e+06   7.347186e+09 
 13m57s74  0162   6.571355e+06   1.713353e+08 
 14m02s42  0163   6.571074e+06   5.301830e+07 
 14m07s38  0164   6.570855e+06   1.185565e+07 
 14m12s37"	1	real/oligodendrocyte-differentiation-subclusters_marques
topslam	"8.988250e+06   1.532631e+05 
 03m02s79  0304   8.988296e+06   2.628777e+07 
 03m04s14  0306   8.988222e+06   4.372287e+05 
 03m05s47  0308   8.988186e+06   1.875162e+05 
 03m06s80  0310   8.988164e+06   4.659739e+05 
 03m08s12  0312   8.988149e+06   4.338500e+05 
 03m09s41  0314   8.988114e+06   1.059903e+06 
 03m10s70  0316   8.988099e+06   6.261285e+05 
 03m11s99  0318   8.988273e+06   8.692749e+07 
 03m13s29  0320   8.988062e+06   5.909613e+05 
 03m14s47  0322   8.988311e+06   1.141077e+08 
 03m15s69  0324   8.988031e+06   2.143527e+05 
 03m17s08  0327   8.988015e+06   3.979688e+05 
 03m18s"	1	real/mESC-differentiation_hayashi
topslam	"8.989306e+06   3.354588e+05 
 03m04s90  0305   8.989286e+06   2.525869e+06 
 03m06s09  0307   8.989267e+06   1.601273e+05 
 03m07s26  0309   8.989258e+06   7.794244e+06 
 03m08s53  0311   8.989240e+06   2.370302e+05 
 03m09s58  0313   8.989232e+06   9.036180e+05 
 03m10s79  0315   8.989293e+06   3.922957e+07 
 03m11s88  0317   8.989211e+06   1.956474e+06 
 03m12s93  0319   8.989185e+06   2.725899e+05 
 03m14s09  0321   8.989165e+06   2.369403e+05 
 03m15s38  0323   8.989147e+06   2.278113e+05 
 03m16s67  0325   8.989131e+06   1.984939e+06 
 03m17s79  0327   8.989170e+06   2.487589e+07 
 03m18s"	1	real/mESC-differentiation_hayashi
topslam	"82846e+06   4.652473e+06 
 05m09s52  0153   2.883585e+06   6.806410e+08 
 05m11s42  0154   2.882839e+06   1.421920e+06 
 05m13s33  0155   2.882820e+06   1.432768e+06 
 05m15s22  0156   2.882571e+06   9.755979e+06 
 05m17s11  0157   2.882537e+06   2.675819e+07 
 05m19s00  0158   2.882360e+06   2.603590e+06 
 05m20s97  0159   2.882220e+06   2.284152e+06 
 05m22s78  0160   2.882103e+06   2.130296e+06 
 05m24s62  0161   2.881822e+06   2.137397e+06 
 05m26s55  0162   2.886078e+06   1.279941e+09 
 05m28s62  0163   2.881787e+06   8.775295e+06 
 05m30s81  0164   2.881703e+06   3.027838e+06 
 05m33s02 "	1	real/dentate-gyrus-neurogenesis_hochgerner
topslam	"855690e+06   3.025731e+08 
 07m45s14  0153   4.855574e+06   1.010294e+08 
 07m48s48  0154   4.855456e+06   2.925371e+06 
 07m51s78  0155   4.855425e+06   2.965136e+06 
 07m54s76  0156   4.855180e+06   3.856321e+06 
 07m57s64  0157   4.854739e+06   7.380351e+06 
 08m00s50  0158   4.854130e+06   4.551272e+06 
 08m03s65  0159   4.853859e+06   4.055356e+07 
 08m06s39  0160   4.853003e+06   1.629244e+07 
 08m09s00  0161   4.852008e+06   2.726856e+07 
 08m11s81  0162   4.851698e+06   3.037283e+07 
 08m14s90  0163   4.851458e+06   1.328225e+07 
 08m17s78  0164   4.851356e+06   8.673191e+06 
 08m20s87"	1	real/oligodendrocyte-differentiation-clusters_marques
topslam	"866294e+06   6.764743e+06 
 07m09s57  0152   4.866145e+06   3.531587e+06 
 07m12s79  0153   4.865876e+06   5.182917e+06 
 07m16s36  0154   4.864941e+06   1.788431e+07 
 07m19s92  0155   4.867159e+06   4.527433e+09 
 07m23s00  0156   4.864786e+06   1.040039e+08 
 07m26s41  0157   4.863910e+06   2.227747e+07 
 07m29s78  0158   4.863218e+06   5.051736e+06 
 07m33s22  0159   4.862701e+06   4.151897e+06 
 07m36s42  0160   4.861295e+06   3.223720e+06 
 07m39s02  0161   4.867899e+06   4.249252e+09 
 07m41s96  0162   4.860228e+06   2.431086e+08 
 07m44s90  0163   4.858174e+06   2.445703e+07 
 07m47s53"	1	real/oligodendrocyte-differentiation-clusters_marques
topslam	"888551e+06   7.909895e+08 
 04m52s29  0153   2.887146e+06   7.197749e+07 
 04m54s14  0154   2.887034e+06   3.612072e+07 
 04m55s97  0155   2.886967e+06   7.336024e+06 
 04m57s73  0156   2.886911e+06   4.034674e+06 
 04m59s50  0157   2.886725e+06   1.446834e+07 
 05m01s41  0158   2.886637e+06   4.885620e+06 
 05m03s32  0159   2.886597e+06   1.516080e+06 
 05m05s46  0160   2.886585e+06   1.808729e+06 
 05m07s55  0161   2.886563e+06   4.817506e+07 
 05m09s82  0162   2.886513e+06   1.881710e+07 
 05m11s68  0163   2.886425e+06   5.689942e+05 
 05m13s50  0164   2.886378e+06   5.314592e+06 
 05m15s13"	1	real/dentate-gyrus-neurogenesis_hochgerner
topslam	"92412e+06   2.619511e+07 
 04m49s26  0152   2.891883e+06   1.313474e+07 
 04m51s30  0153   2.898094e+06   2.924825e+09 
 04m53s16  0154   2.891851e+06   7.686437e+05 
 04m54s92  0155   2.891632e+06   8.464952e+05 
 04m56s91  0156   2.904428e+06   1.283366e+10 
 04m58s84  0157   2.891603e+06   2.382351e+07 
 05m00s99  0158   2.891229e+06   1.345560e+06 
 05m03s12  0159   2.891191e+06   5.608713e+05 
 05m05s10  0160   2.891132e+06   4.775066e+05 
 05m06s99  0161   2.890958e+06   1.443949e+06 
 05m09s03  0162   2.891597e+06   2.215982e+08 
 05m11s05  0163   2.890846e+06   1.421453e+07 
 05m13s16 "	1	real/dentate-gyrus-neurogenesis_hochgerner
topslam	"987533e+06   1.299145e+06 
 03m14s88  0304   8.987497e+06   1.924132e+06 
 03m16s21  0306   8.987477e+06   3.359442e+05 
 03m17s47  0308   8.987443e+06   9.791675e+05 
 03m18s66  0310   8.987389e+06   1.338560e+07 
 03m19s95  0312   8.987360e+06   2.371845e+05 
 03m21s16  0314   8.987347e+06   1.214558e+06 
 03m22s33  0316   8.987342e+06   5.497770e+06 
 03m23s56  0318   8.987312e+06   2.208982e+05 
 03m24s82  0320   8.987295e+06   1.351612e+06 
 03m26s15  0322   8.987255e+06   7.699915e+05 
 03m27s48  0324   8.987243e+06   6.997358e+06 
 03m28s85  0326   8.987209e+06   3.494759e+05 
 03m30s11"	1	real/mESC-differentiation_hayashi
topslam	"988057e+06   4.558715e+06 
 03m02s20  0304   8.988036e+06   1.654449e+05 
 03m03s29  0306   8.988019e+06   4.512222e+05 
 03m04s38  0308   8.988011e+06   2.932950e+05 
 03m05s46  0310   8.987946e+06   3.023757e+05 
 03m06s55  0312   8.987913e+06   1.068088e+06 
 03m07s63  0314   8.987896e+06   1.643305e+06 
 03m08s72  0316   8.987886e+06   5.487174e+05 
 03m09s79  0318   8.987870e+06   8.744113e+05 
 03m10s87  0320   8.987861e+06   3.934684e+06 
 03m11s95  0322   8.987787e+06   4.762870e+05 
 03m13s02  0324   8.987739e+06   1.528348e+06 
 03m14s10  0326   8.987732e+06   4.175954e+06 
 03m15s29"	1	real/mESC-differentiation_hayashi
Wanderlust	"/wishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 4"	1	real/distal-lung-epithelium_treutlein
Wanderlust	"/wishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 8"	1	synthetic/converging_7
Wanderlust	"ishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 111"	1	synthetic/trifurcating_3
Wanderlust	"ishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 115"	1	real/germline-human-male-weeks_li
Wanderlust	"ishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 118"	1	real/olfactory-projection-neurons-DC3_VA1d_horns
Wanderlust	"ishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 126"	1	synthetic/trifurcating_3
Wanderlust	"ishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 127"	1	real/epiblast-monkey_nakamura
Wanderlust	"ishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 134"	1	real/mesoderm-development_loh
Wanderlust	"ishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 146"	1	real/olfactory-projection-neurons-DC3_VA1d_horns
Wanderlust	"ishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 151"	1	synthetic/trifurcating_3
Wanderlust	"ishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 156"	1	real/olfactory-projection-neurons-DC3_VA1d_horns
